,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_data_index,param_kernel_name,param_mismatch_nb,param_seq_length_mm,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
338,1.2938167572021484,0.004865163850112682,0.13156442642211913,0.0006256288759757093,0.43,2,mismatch,"[1, 2]",[12 11 10],"{'C': 0.43, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10])}",0.77,0.79,0.74,0.7925,0.7425,0.767,0.02243880567231687,136
339,1.3751641750335692,0.0632199192998256,0.16235427856445311,0.0015821098300003798,0.43,2,mismatch,"[1, 2]",[12 11 10  9],"{'C': 0.43, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9])}",0.77,0.8025,0.725,0.78,0.74,0.7635,0.02782085548648712,220
340,1.412451934814453,0.06382480674781571,0.1939666748046875,0.00187900762395996,0.43,2,mismatch,"[1, 2]",[12 11 10  9  8],"{'C': 0.43, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8])}",0.765,0.8,0.7275,0.765,0.7575,0.763,0.0230976189249022,225
341,1.4354358196258545,0.057190591068816625,0.2214902877807617,0.0019874097432641446,0.43,2,mismatch,"[1, 2]",[12 11 10  9  8  7],"{'C': 0.43, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8,  7])}",0.7725,0.805,0.7325,0.7625,0.76,0.7665,0.023377339455121923,167
342,1.4652676582336426,0.06080341115265532,0.2513895988464355,0.0025546788215868596,0.43,2,mismatch,"[1, 2]",[12 11 10  9  8  7  6],"{'C': 0.43, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8,  7,  6])}",0.7825,0.8125,0.7375,0.7625,0.755,0.7699999999999999,0.025690465157330245,53
343,1.5014753341674805,0.060920928912416905,0.26445708274841306,0.002005576733685733,0.43,2,mismatch,"[1, 2]",[12 11 10  9  8  7  6  5],"{'C': 0.43, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9,  8,  7,  6,  5])}",0.79,0.8175,0.73,0.7675,0.755,0.772,0.029891470355270258,25
344,1.2381049156188966,0.006303394296723879,0.055953025817871094,0.00018365319852485913,0.44,2,mismatch,"[1, 2]",[12],"{'C': 0.44, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12])}",0.6775,0.7425,0.6875,0.7125,0.6925,0.7024999999999999,0.023021728866442697,316
345,1.2657248497009277,0.007915821909548546,0.09620094299316406,0.0009330663808326105,0.44,2,mismatch,"[1, 2]",[12 11],"{'C': 0.44, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11])}",0.745,0.785,0.7275,0.7775,0.7425,0.7555000000000001,0.021988633427296008,263
346,1.2968388557434083,0.0073422992279504416,0.13155455589294435,0.0005870482329450513,0.44,2,mismatch,"[1, 2]",[12 11 10],"{'C': 0.44, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10])}",0.77,0.7925,0.74,0.7925,0.7425,0.7675000000000001,0.022967368155711685,117
347,1.3692955493927002,0.060300255229200586,0.16121392250061034,0.000762156224553523,0.44,2,mismatch,"[1, 2]",[12 11 10  9],"{'C': 0.44, 'data_index': 2, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': array([12, 11, 10,  9])}",0.77,0.8025,0.7275,0.78,0.74,0.764,0.027138533490223816,208
