,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_data_index,param_kernel_name,param_mismatch_nb,param_seq_length_mm,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
16,1.5172125339508056,0.04488735970591278,0.20021119117736816,0.0007406342068704263,0.01,0,mismatch,"[1, 2]","[7, 9, 8, 10, 12]","{'C': 0.01, 'data_index': 0, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': [7, 9, 8, 10, 12]}",0.595,0.6025,0.63,0.565,0.5225,0.583,0.036653785616222526,2528
17,1.4885512828826903,0.006563810187867775,0.2003817081451416,0.0019357336516998016,0.01,0,mismatch,"[1, 2]","[7, 11, 8, 10, 12]","{'C': 0.01, 'data_index': 0, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': [7, 11, 8, 10, 12]}",0.57,0.585,0.6275,0.565,0.5225,0.574,0.033860005906674026,2533
18,1.496408176422119,0.007686723795894549,0.20213088989257813,0.0017550359878075726,0.01,0,mismatch,"[1, 2]","[7, 13, 8, 10, 12]","{'C': 0.01, 'data_index': 0, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': [7, 13, 8, 10, 12]}",0.5525,0.565,0.5975,0.5475,0.535,0.5595,0.021295539439046857,2541
19,1.5053194522857667,0.013887386102450801,0.19989495277404784,0.0008540770547280479,0.01,0,mismatch,"[1, 2]","[9, 11, 8, 10, 12]","{'C': 0.01, 'data_index': 0, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': [9, 11, 8, 10, 12]}",0.6075,0.6025,0.645,0.585,0.545,0.597,0.03253459696999488,2523
20,1.500560712814331,0.015961663440647596,0.20057573318481445,0.0009863395531838851,0.01,0,mismatch,"[1, 2]","[9, 13, 8, 10, 12]","{'C': 0.01, 'data_index': 0, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': [9, 13, 8, 10, 12]}",0.575,0.5925,0.63,0.5775,0.5375,0.5825,0.029874738492579322,2529
21,1.505554723739624,0.012795063488214622,0.20227766036987305,0.0019439558405956613,0.01,0,mismatch,"[1, 2]","[11, 13, 8, 10, 12]","{'C': 0.01, 'data_index': 0, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': [11, 13, 8, 10, 12]}",0.5675,0.5875,0.6025,0.57,0.5275,0.571,0.025179356624028364,2535
22,1.5689778327941895,0.050277247465432974,0.23121247291564942,0.002320604878145414,0.01,0,mismatch,"[1, 2]","[5, 6, 7, 8, 10, 12]","{'C': 0.01, 'data_index': 0, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': [5, 6, 7, 8, 10, 12]}",0.5725,0.59,0.6,0.545,0.5175,0.5650000000000001,0.030207614933986427,2538
23,1.5759278774261474,0.045183712807445306,0.23422412872314452,0.0020106267992348746,0.01,0,mismatch,"[1, 2]","[5, 6, 9, 8, 10, 12]","{'C': 0.01, 'data_index': 0, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': [5, 6, 9, 8, 10, 12]}",0.575,0.585,0.6125,0.545,0.5125,0.5660000000000001,0.03437295448459444,2537
24,1.5594549655914307,0.051632320426998314,0.23456368446350098,0.0008632854948525056,0.01,0,mismatch,"[1, 2]","[5, 6, 11, 8, 10, 12]","{'C': 0.01, 'data_index': 0, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': [5, 6, 11, 8, 10, 12]}",0.555,0.555,0.5875,0.535,0.5225,0.551,0.02205674500011279,2545
25,1.5432823657989503,0.004487134397317233,0.23314833641052246,0.002270973898619853,0.01,0,mismatch,"[1, 2]","[5, 6, 13, 8, 10, 12]","{'C': 0.01, 'data_index': 0, 'kernel_name': 'mismatch', 'mismatch_nb': [1, 2], 'seq_length_mm': [5, 6, 13, 8, 10, 12]}",0.545,0.5475,0.5875,0.5325,0.52,0.5465000000000001,0.02272663635472703,2548
